Bimm,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
D,"Alexander NikishinNo new player NotesCAR - D
7:00 pm vs DET",,,DET,–,,61%,222,-,,-,-,-,-,-,-,-
Util,"Vincent TrocheckNo new player NotesNYR - C
W, 3-2 vs PIT",,,PIT,6,,59%,108,-,,0,1,0,12,1,0,0
BN,Jacob TroubaNew Player NoteANA - D,,,,–,,58%,171,-,,-,-,-,-,-,-,-
BN,"Valeri NichushkinNo new player NotesCOL - LW,RW
1st 10:46, 0-1 vs CHI",,,CHI,0,,58%,65,-,,0,0,0,0,0,0,0
BN,"Blake ColemanPlayer NoteCGY - C,LW,RW
7:00 pm @ LA",,,@LA,–,,25%,220,-,,-,-,-,-,-,-,-
IR+,"Mikko RantanenIRPlayer NoteDAL - LW,RW 
8:00 pm vs NSH",,,NSH,–,,100%,8,-,2,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,
Adam,,,,,,,,,,,,,,,,,
C,"Ryan McLeodNo new player NotesBUF - C
7:00 pm @ TB",,,@TB,–,,16%,357,-,,-,-,-,-,-,-,-
C,"Ryan Nugent-HopkinsPlayer NoteEDM - C,LW 
3rd 7:18, 4-5 @ SJ",,,@SJ,-1,,69%,140,-,1,0,0,-1,0,0,0,0
LW,"Nikolaj EhlersPlayer NoteCAR - LW,RW
7:00 pm vs DET",,,DET,–,,82%,121,-,,-,-,-,-,-,-,-
LW,"Alex OvechkinNo new player NotesWSH - LW,RW
7:00 pm @ MTL",,,@MTL,–,,97%,48,-,,-,-,-,-,-,-,-
RW,"Patrick KaneNo new player NotesDET - RW
7:00 pm @ CAR",,,@CAR,–,,31%,133,-,,-,-,-,-,-,-,-
RW,"Bryan RustNo new player NotesPIT - RW
L, 2-3 @ NYR",,,@NYR,2,,74%,86,-,,0,1,-1,0,1,0,0
D,"Dougie HamiltonNo new player NotesNJ - D 
2nd 5:04, 1-0 @ STL",,,@STL,0.5,,85%,95,-,1,0,0,0,2,0,0,0
D,"Noah DobsonPlayer NoteMTL - D
7:00 pm vs WSH",,,WSH,–,,97%,80,-,,-,-,-,-,-,-,-
D,"MacKenzie WeegarNo new player NotesCGY - D 
7:00 pm @ LA",,,@LA,–,,86%,118,-,1,-,-,-,-,-,-,-
D,"Jakob ChychrunNew Player NoteWSH - D
7:00 pm @ MTL",,,@MTL,–,,99%,42,-,,-,-,-,-,-,-,-
Util,"Jake SandersonNo new player NotesOTT - D
7:00 pm @ TOR",,,@TOR,–,,99%,58,-,,-,-,-,-,-,-,-
BN,"Robert ThomasIRPlayer NoteSTL - C 
2nd 5:04, 0-1 vs NJ",,,NJ,0,,69%,87,-,3,-,-,-,-,-,-,-
BN,"JJ PeterkaNo new player NotesUTA - LW,RW",,,,–,,54%,101,-,,-,-,-,-,-,-,-
BN,"Roope HintzONew Player NoteDAL - C 
8:00 pm vs NSH",,,NSH,–,,90%,32,-,2,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,
Colin,,,,,,,,,,,,,,,,,
C,"Dylan StromeNo new player NotesWSH - C 
7:00 pm @ MTL",,,@MTL,–,,82%,69,-,1,-,-,-,-,-,-,-
C,"Brock NelsonPlayer NoteCOL - C
1st 10:28, 0-1 vs CHI",,,CHI,0,,85%,135,-,,0,0,0,0,0,0,0
LW,"Travis KonecnyNo new player NotesPHI - LW,RW
W, 3-1 vs BOS",,,BOS,7,,92%,91,-,,1,1,2,0,0,0,0
LW,"Zach HymanPlayer NoteEDM - LW,RW 
3rd 7:18, 4-5 @ SJ",,,@SJ,-1,,88%,103,-,2,0,0,-1,0,0,0,0
RW,"Tom WilsonPlayer NoteWSH - RW
7:00 pm @ MTL",,,@MTL,–,,92%,70,-,,-,-,-,-,-,-,-
RW,(Empty),,,,–,,0%,-,-,,-,-,-,-,-,-,-
D,"Charlie McAvoyPlayer NoteBOS - D 
L, 1-3 @ PHI",,,@PHI,2,,92%,136,-,1,1,0,-1,0,0,0,0
D,"Brandon MontourNo new player NotesSEA - D
10:00 pm vs VAN",,,VAN,–,,83%,85,-,,-,-,-,-,-,-,-
D,Rasmus AnderssonNo new player NotesVGK - D,,,,–,,87%,102,-,,-,-,-,-,-,-,-
D,"Shayne GostisbehereNo new player NotesCAR - D
7:00 pm vs DET",,,DET,–,,84%,113,-,,-,-,-,-,-,-,-
Util,"Tim StutzlePlayer NoteOTT - C,LW 
7:00 pm @ TOR",,,@TOR,–,,99%,41,-,1,-,-,-,-,-,-,-
BN,"Adrian KempePlayer NoteLA - RW 
7:00 pm vs CGY",,,CGY,–,,97%,44,-,4,-,-,-,-,-,-,-
BN,"Elias PetterssonNo new player NotesVAN - C,LW 
10:00 pm @ SEA",,,@SEA,–,,78%,115,-,3,-,-,-,-,-,-,-
BN,"Alex DeBrincatNo new player NotesDET - LW,RW 
7:00 pm @ CAR",,,@CAR,–,,97%,28,-,2,-,-,-,-,-,-,-
BN,"Jordan KyrouPlayer NoteSTL - RW
2nd 5:04, 0-1 vs NJ",,,NJ,0,,54%,68,-,,0,0,0,0,0,0,0
BN,Sam BennettNew Player NoteFLA - C,,,,–,,77%,93,-,,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,
Dave,,,,,,,,,,,,,,,,,
C,"Jack HughesPlayer NoteNJ - C,LW 
2nd 5:04, 1-0 @ STL",,,@STL,1,,97%,114,-,2,0,0,1,0,0,0,0
C,"Josh NorrisNew Player NoteBUF - C 
7:00 pm @ TB",,,@TB,–,,20%,190,-,1,-,-,-,-,-,-,-
LW,"Leon DraisaitlPlayer NoteEDM - C,LW 
3rd 7:18, 4-5 @ SJ",,,@SJ,3,,100%,3,-,4,1,0,-1,0,1,0,0
LW,"Artturi LehkonenPlayer NoteCOL - LW,RW
1st 10:26, 0-1 vs CHI",,,CHI,0,,75%,167,-,,0,0,0,0,0,0,0
RW,"Charlie CoyleNo new player NotesCBJ - C,RW
1st 10:58, 1-0 vs NYI",,,NYI,0,,30%,203,-,,0,0,0,0,0,0,0
RW,"Lucas RaymondPlayer NoteDET - RW
7:00 pm @ CAR",,,@CAR,–,,93%,67,-,,-,-,-,-,-,-,-
D,Mikhail SergachevNew Player NoteUTA - D,,,,–,,95%,78,-,,-,-,-,-,-,-,-
D,Nate SchmidtNo new player NotesUTA - D,,,,–,,1%,527,-,,-,-,-,-,-,-,-
D,"Brandt ClarkePlayer NoteLA - D
7:00 pm vs CGY",,,CGY,–,,63%,176,-,,-,-,-,-,-,-,-
D,"Victor HedmanPlayer NoteTB - D 
7:00 pm vs BUF",,,BUF,–,,93%,162,-,1,-,-,-,-,-,-,-
Util,"Mikael BacklundPlayer NoteCGY - C
7:00 pm @ LA",,,@LA,–,,12%,285,-,,-,-,-,-,-,-,-
BN,"Luke EvangelistaNo new player NotesNSH - RW
8:00 pm @ DAL",,,@DAL,–,,10%,352,-,,-,-,-,-,-,-,-
BN,"Matt BoldyNew Player NoteMIN - LW,RW ",,,,–,,100%,21,-,3,-,-,-,-,-,-,-
BN,"Timo MeierPlayer NoteNJ - LW,RW 
2nd 5:04, 1-0 @ STL",,,@STL,4,,70%,99,-,1,1,0,1,0,0,0,0
,,,,,,,,,,,,,,,,,
Hordo,,,,,,,,,,,,,,,,,
C,"Sidney CrosbyIRPlayer NotePIT - C 
L, 2-3 @ NYR",,,@NYR,0,,99%,19,-,2,-,-,-,-,-,-,-
C,"Matt DuchenePlayer NoteDAL - C,RW
8:00 pm vs NSH",,,NSH,–,,51%,88,-,,-,-,-,-,-,-,-
LW,"Mason MarchmentPlayer NoteCBJ - LW
1st 10:58, 1-0 vs NYI",,,NYI,0,,24%,215,-,,0,0,0,0,0,0,0
LW,"Dmitri VoronkovNo new player NotesCBJ - LW
1st 10:58, 1-0 vs NYI",,,NYI,1,,20%,150,-,,0,0,1,0,0,0,0
RW,"Mathew BarzalNo new player NotesNYI - C,RW 
1st 10:58, 0-1 @ CBJ",,,@CBJ,0,,80%,112,-,3,0,0,0,0,0,0,0
RW,"Aliaksei ProtasNew Player NoteWSH - LW,RW
7:00 pm @ MTL",,,@MTL,–,,61%,122,-,,-,-,-,-,-,-,-
D,"Zach WerenskiNo new player NotesCBJ - D
1st 10:58, 1-0 vs NYI",,,NYI,0,,100%,23,-,,0,0,0,0,0,0,0
D,"Morgan RiellyNo new player NotesTOR - D
7:00 pm vs OTT",,,OTT,–,,65%,90,-,,-,-,-,-,-,-,-
D,"Bowen ByramNo new player NotesBUF - D
7:00 pm @ TB",,,@TB,–,,39%,179,-,,-,-,-,-,-,-,-
D,"Luke HughesNew Player NoteNJ - D 
2nd 5:02, 1-0 @ STL",,,@STL,3,,65%,172,-,1,0,1,1,0,0,0,0
Util,"Kent JohnsonNo new player NotesCBJ - C,LW,RW
1st 10:58, 1-0 vs NYI",,,NYI,0,,5%,204,-,,-,-,-,-,-,-,-
BN,Joel Eriksson EkNew Player NoteMIN - C ,,,,–,,75%,148,-,2,-,-,-,-,-,-,-
BN,Logan CooleyNew Player NoteUTA - C,,,,–,,68%,258,-,,-,-,-,-,-,-,-
BN,Kirill KaprizovNew Player NoteMIN - LW ,,,,–,,100%,7,-,1,-,-,-,-,-,-,-
IR+,"Tyler SeguinIR-LTPlayer NoteDAL - C,RW
8:00 pm vs NSH",,,NSH,–,,7%,270,-,,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,
Trevor,,,,,,,,,,,,,,,,,
